aded,Absentee / Military,Affidavit,Federal,Manually Counted Emergency,Scattered,Public Counter,Phara Souffrant Forrest,Walter T. Mosley III,Total Valid Ballots,percphara,percmos
57001,24,1,0,0,,79,24,69,93,25.8064516129032,74.1935483870968
57002,18,1,0,0,,123,25,112,137,18.2481751824818,81.7518248175183
57003,17,0,0,0,1,119,22,104,127,17.3228346456693,81.8897637795276
57004,76,0,0,0,,78,93,57,150,62,38
57005,8,0,0,0,,33,9,30,39,23.0769230769231,76.9230769230769
57006,14,2,0,0,,101,23,82,105,21.9047619047619,78.0952380952381
57007,10,1,0,0,,56,6,57,63,9.52380952380952,90.4761904761905
57008,47,1,0,0,1,78,51,66,118,43.2203389830509,55.9322033898305
57009,82,5,2,0,,142,99,116,215,46.046511627907,53.953488372093
57010,261,10,3,0,1,222,224,239,464,48.2758620689655,51.5086206896552
57011,108,6,1,0,,125,70,156,226,30.9734513274336,69.0265486725664
57012,19,1,0,0,,133,23,114,137,16.7883211678832,83.2116788321168
57013,16,2,0,0,1,102,28,83,112,25,74.1071428571429
57014,136,2,0,0,,89,128,94,222,57.6576576576577,42.3423423423423
57015,146,0,0,0,,138,166,104,270,61.4814814814815,38.5185185185185
57016,190,1,0,0,,206,213,174,387,55.0387596899225,44.9612403100775
57017,222,0,0,0,1,225,206,226,433,47.5750577367206,52.1939953810624
57018,162,5,2,0,1,227,141,242,384,36.71875,63.0208333333333
57019,24,1,0,0,10,98,34,69,113,30.0884955752212,61.0619469026549
57020,,,,,,,,,,,
57021,129,2,0,0,,164,200,81,281,71.1743772241993,28.8256227758007
57022,101,3,1,0,8,166,145,106,259,55.984555984556,40.9266409266409
57023,33,0,1,0,,23,52,4,56,92.8571428571429,7.14285714285714
57024,173,4,0,0,,174,178,163,341,52.1994134897361,47.8005865102639
57025,259,4,0,0,,244,309,171,480,64.375,35.625
57026,196,3,0,0,1,188,224,151,376,59.5744680851064,40.1595744680851
57027,137,5,0,0,,144,172,97,269,63.9405204460967,36.0594795539033
57028,120,3,1,0,,167,167,120,287,58.1881533101045,41.8118466898955
57029,153,4,2,0,,225,181,192,373,48.5254691689008,51.4745308310992
57030,72,1,0,0,,209,62,214,276,22.463768115942,77.536231884058
57031,124,0,0,0,,353,102,369,471,21.656050955414,78.343949044586
57032,10,0,0,0,,98,16,83,99,16.1616161616162,83.8383838383838
57033,6,0,0,0,,77,16,64,80,20,80
57034,192,0,1,0,,229,198,215,413,47.9418886198547,52.0581113801453
57035,173,2,0,0,,175,194,147,341,56.891495601173,43.108504398827
57036,170,0,0,0,,192,248,107,355,69.8591549295775,30.1408450704225
57037,116,3,0,0,,136,177,76,253,69.9604743083004,30.0395256916996
57038,222,2,0,0,,198,275,134,409,67.2371638141809,32.7628361858191
57039,184,8,1,0,,203,207,176,383,54.046997389034,45.9530026109661
57040,150,0,1,0,,200,195,150,345,56.5217391304348,43.4782608695652
57041,171,4,0,0,1,227,233,161,395,58.9873417721519,40.7594936708861
57042,136,3,3,0,,186,158,158,316,50,50
57043,247,2,0,0,,212,273,182,455,60,40
57044,126,3,0,0,,191,150,165,315,47.6190476190476,52.3809523809524
57045,95,8,0,0,,188,102,178,280,36.4285714285714,63.5714285714286
57046,49,3,0,0,,157,59,143,202,29.2079207920792,70.7920792079208
57047,138,4,0,0,1,95,155,72,228,67.9824561403509,31.5789473684211
57048,164,5,2,0,2,219,214,154,370,57.8378378378378,41.6216216216216
57049,156,8,0,0,,222,237,135,372,63.7096774193548,36.2903225806452
57050,136,6,1,0,1,161,191,103,295,64.7457627118644,34.9152542372881
57051,138,3,1,0,,173,216,94,310,69.6774193548387,30.3225806451613
57052,71,8,0,0,,139,124,72,196,63.265306122449,36.734693877551
57053,75,2,0,0,,175,135,110,245,55.1020408163265,44.8979591836735
57054,144,6,0,0,2,261,243,157,402,60.4477611940299,39.0547263681592
57055,102,2,0,0,,139,151,86,237,63.7130801687764,36.2869198312236
57056,143,3,0,0,,184,208,112,320,65,35
57057,120,2,0,0,,180,191,95,286,66.7832167832168,33.2167832167832
57058,109,2,0,0,,174,191,86,277,68.9530685920578,31.0469314079422
57059,108,1,0,0,,117,151,69,220,68.6363636363636,31.3636363636364
57060,156,1,0,0,,88,178,61,239,74.4769874476987,25.5230125523013
57061,301,4,1,0,,222,318,185,503,63.220675944334,36.779324055666
57062,132,1,0,0,,88,146,70,216,67.5925925925926,32.4074074074074
57063,178,0,0,0,,134,176,128,304,57.8947368421053,42.1052631578947
57064,255,0,0,0,,186,290,141,431,67.2853828306265,32.7146171693736
57065,194,2,1,0,1,151,258,79,338,76.3313609467456,23.3727810650888
57066,130,2,2,0,,168,193,103,296,65.2027027027027,34.7972972972973
57067,113,1,0,0,,172,172,100,272,63.2352941176471,36.7647058823529
57068,161,0,3,0,,226,233,130,363,64.1873278236915,35.8126721763085
57069,155,1,0,0,,242,244,137,381,64.0419947506562,35.9580052493438
57070,216,5,1,0,1,234,280,157,438,63.9269406392694,35.8447488584475
57071,159,1,0,0,,97,127,117,244,52.0491803278689,47.9508196721312
57072,232,4,2,0,,164,259,115,374,69.2513368983957,30.7486631016043
57073,136,2,1,0,,130,161,94,255,63.1372549019608,36.8627450980392
57074,195,2,0,0,1,183,220,144,365,60.2739726027397,39.4520547945206
57075,168,3,1,0,,206,206,148,354,58.1920903954802,41.8079096045198
57076,152,7,0,0,,222,180,174,354,50.8474576271187,49.1525423728814
57077,82,0,0,0,1,68,69,70,140,49.2857142857143,50
57078,129,4,1,0,1,207,153,159,313,48.8817891373802,50.7987220447284
57079,114,2,0,0,,166,160,108,268,59.7014925373134,40.2985074626866
57080,150,2,0,0,,202,202,125,327,61.7737003058104,38.2262996941896
57081,135,3,0,0,,171,180,114,294,61.2244897959184,38.7755102040816
57082,60,2,1,0,,115,103,70,173,59.5375722543353,40.4624277456647
57083,86,8,1,0,,144,103,109,212,48.5849056603774,51.4150943396227
57084,119,6,0,0,1,159,167,100,268,62.3134328358209,37.3134328358209
57085,94,2,0,0,,183,133,130,263,50.5703422053232,49.4296577946768
57086,40,2,0,0,,107,83,53,136,61.0294117647059,38.9705882352941
57087,119,1,0,0,,218,180,137,317,56.7823343848581,43.217665615142
57088,72,1,0,0,,129,120,62,182,65.9340659340659,34.0659340659341
57089,65,4,0,0,,163,93,128,221,42.0814479638009,57.9185520361991
57090,83,5,0,0,1,318,88,286,375,23.4666666666667,76.2666666666667
57091,25,4,0,0,,185,56,142,198,28.2828282828283,71.7171717171717
57092,125,2,0,0,2,193,139,160,301,46.1794019933555,53.156146179402
57093,87,2,1,0,1,151,106,119,226,46.9026548672566,52.6548672566372
57094,54,0,1,0,,80,88,42,130,67.6923076923077,32.3076923076923
57095,68,4,0,0,,120,88,97,185,47.5675675675676,52.4324324324324
57096,86,2,0,0,,125,114,82,196,58.1632653061225,41.8367346938776
57097,16,0,0,0,,80,15,78,93,16.1290322580645,83.8709677419355
57098,15,0,0,0,,92,21,82,103,20.3883495145631,79.6116504854369
57099,118,3,0,0,,128,160,76,236,67.7966101694915,32.2033898305085
57100,106,3,0,0,,153,159,91,250,63.6,36.4
57101,110,2,0,0,3,206,182,131,316,57.5949367088608,41.4556962025316
57102,103,1,1,0,,140,159,81,240,66.25,33.75
57103,171,2,1,0,,114,171,111,282,60.6382978723404,39.3617021276596
57104,269,6,0,0,1,197,319,141,461,69.1973969631237,30.58568329718
57105,116,2,1,0,,166,174,96,270,64.4444444444445,35.5555555555556
57106,0,0,0,0,,0,0,0,0,,
