twitter_name,cluster
Adrienne E. Adams,0
Robert F. Holden,0
Joseph C. Borelli,0
Gale A. Brewer,0
Farah N. Louis,0
Justin L. Brannan,0
Carlina Rivera ,0
Carmen N. De La Rosa,1
"Rafael Salamanca, Jr.",1
Lynn C. Schulman,1
Kalman Yeger ,1
Julie Won,1
Julie Menin,1
Jennifer Gutiérrez,1
Keith Powers ,1
Vickie Paladino,1
Francisco P. Moya,1
David M. Carr,1
Diana I. Ayala,1
Shekar Krishnan,2
Shahana K. Hanif,2
Sandy Nurse,2
Rita C. Joseph,2
Pierina Ana Sanchez,2
Lincoln Restler,2
Crystal Hudson,2
Amanda Farías,3
Kevin C. Riley,3
Inna Vernikov,3
James F. Gennaro,3
Selvena N. Brooks-Powers,3
Mercedes Narcisse,3
Nantasha M. Williams,3
Oswald Feliz,3
Althea V.  Stevens,3
Kamillah Hanks,3
Joann Ariola ,3
Alexa Avilés,4
Tiffany Cabán,4
Sandra Ung,5
Ari Kagan,5
Erik D. Bottcher,5
Linda Lee,5
Shaun Abreu,5
Eric Dinowitz,5
Marjorie Velázquez,5
Christopher Marte,5
